actor,changed_action_prior_rank,episode_id,events_tail,hand,iteration,last_discard,legal_actions,pilot_config_id,rule_prior_top1,step_id,student_top1
3,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=9|consumed=|from=-1|flags=0 | 0|tile=1|consumed=|from=-1|flags=0 | 0|tile=19|consumed=|from=-1|flags=0 | 0|tile=2|consumed=|from=-1|flags=1 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=14|consumed=|from=-1|flags=0 | 0|tile=23|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,26,0|tile=9|consumed=|from=-1|flags=0
3,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=9|consumed=|from=-1|flags=0 | 0|tile=19|consumed=|from=-1|flags=0 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=14|consumed=|from=-1|flags=0 | 0|tile=23|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,35,0|tile=9|consumed=|from=-1|flags=0
0,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=18|consumed=|from=-1|flags=0 | 0|tile=11|consumed=|from=-1|flags=0 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=7|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=1 | 0|tile=29|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,39,0|tile=18|consumed=|from=-1|flags=0
3,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=9|consumed=|from=-1|flags=0 | 0|tile=19|consumed=|from=-1|flags=0 | 0|tile=2|consumed=|from=-1|flags=0 | 0|tile=20|consumed=|from=-1|flags=1 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=14|consumed=|from=-1|flags=0 | 0|tile=23|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0,0,0|tile=23|consumed=|from=-1|flags=0,51,0|tile=9|consumed=|from=-1|flags=0
0,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=11|consumed=|from=-1|flags=1 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=7|consumed=|from=-1|flags=0 | 0|tile=8|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0 | 0|tile=29|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,71,0|tile=11|consumed=|from=-1|flags=1
3,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=9|consumed=|from=-1|flags=0 | 0|tile=19|consumed=|from=-1|flags=0 | 0|tile=2|consumed=|from=-1|flags=0 | 0|tile=20|consumed=|from=-1|flags=0 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=14|consumed=|from=-1|flags=0 | 0|tile=6|consumed=|from=-1|flags=1 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0,0,0|tile=6|consumed=|from=-1|flags=1,83,0|tile=9|consumed=|from=-1|flags=0
0,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=11|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=7|consumed=|from=-1|flags=0 | 0|tile=8|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=27|consumed=|from=-1|flags=1 | 0|tile=32|consumed=|from=-1|flags=0 | 0|tile=29|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,87,0|tile=11|consumed=|from=-1|flags=0
3,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=9|consumed=|from=-1|flags=0 | 0|tile=2|consumed=|from=-1|flags=0 | 0|tile=20|consumed=|from=-1|flags=0 | 0|tile=3|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=22|consumed=|from=-1|flags=1 | 0|tile=14|consumed=|from=-1|flags=0 | 0|tile=6|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0,0,0|tile=6|consumed=|from=-1|flags=0,99,0|tile=9|consumed=|from=-1|flags=0
0,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=11|consumed=|from=-1|flags=0 | 0|tile=15|consumed=|from=-1|flags=0 | 0|tile=7|consumed=|from=-1|flags=1 | 0|tile=8|consumed=|from=-1|flags=0 | 0|tile=33|consumed=|from=-1|flags=0 | 0|tile=27|consumed=|from=-1|flags=0 | 0|tile=32|consumed=|from=-1|flags=0 | 0|tile=29|consumed=|from=-1|flags=0,0,0|tile=33|consumed=|from=-1|flags=0,103,0|tile=11|consumed=|from=-1|flags=0
2,2,d2a50d34,unavailable_in_rollout_step,unavailable_in_rollout_step,0,unavailable_in_rollout_step,0|tile=10|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=0 | 0|tile=4|consumed=|from=-1|flags=1 | 0|tile=22|consumed=|from=-1|flags=0 | 0|tile=22|consumed=|from=-1|flags=0 | 0|tile=5|consumed=|from=-1|flags=0 | 0|tile=23|consumed=|from=-1|flags=0 | 0|tile=6|consumed=|from=-1|flags=0 | 0|tile=24|consumed=|from=-1|flags=0 | 0|tile=16|consumed=|from=-1|flags=0 | 0|tile=31|consumed=|from=-1|flags=0,0,0|tile=31|consumed=|from=-1|flags=0,127,0|tile=10|consumed=|from=-1|flags=0
